as_of,store_id,sku_uid,category,size_label,start_stock,days_of_cover,trailing_demand_rate,elapsed_days,p_stockout_7d,p_stockout_14d,p_stockout_28d,expected_days_out,expected_lost_units,expected_lost_revenue,rank_by_risk,rank_by_units,rank_by_revenue
2025-11-27,AHS01,12_1014_ROSE-GOLD_40,CLOSE,40,111,17.86,6.21,8,0.4645,0.7607,0.9534,6.44,39.99,199569.93,31,1,1
2025-11-27,BES01,12_1014_ROSE-GOLD_40,CLOSE,40,90,18.6,4.84,11,0.5777,0.833,0.9715,7.73,37.4,186626.02,5,2,2
2025-11-27,CHS01,18_1056_GREY_42,GIRLS_OPEN,42,41,12.55,3.27,16,0.4437,0.7065,0.918,6.13,20.03,140013.23,101,8,3
2025-11-27,AHS01,12_1014_ROSE-GOLD_42,CLOSE,42,63,17.04,3.7,12,0.5,0.7696,0.9499,6.82,25.22,125826.24,26,4,4
2025-11-27,SUS01,12_1014_ANTIC-GOLD_40,CLOSE,40,130,21.6,6.02,17,0.2868,0.527,0.8066,4.16,25.04,124972.87,902,5,5
2025-11-27,BES01,12_1014_BROWN_40,CLOSE,40,80,20.18,3.96,9,0.4529,0.7438,0.9455,6.29,24.94,124428.84,49,6,6
2025-11-27,AHS01,12_1014_ROSE-GOLD_41,CLOSE,41,86,23.04,3.73,17,0.4297,0.6901,0.9086,5.95,22.22,110875.85,125,7,7
2025-11-27,BES01,12_1014_ROSE-GOLD_41,CLOSE,41,73,22.34,3.27,9,0.4363,0.7291,0.9401,6.09,19.92,99387.12,59,9,8
2025-11-27,CHS01,12_1014_ROSE-GOLD_40,CLOSE,40,90,25.2,3.57,21,0.3824,0.6318,0.8704,5.35,19.11,95360.66,298,10,9
2025-11-27,PUS01,12_1014_BROWN_41,CLOSE,41,86,21.89,3.93,16,0.3227,0.5751,0.843,4.63,18.19,90764.93,587,11,10
2025-11-27,CHS01,12_1014_ANTIC-GOLD_40,CLOSE,40,93,24.34,3.82,23,0.3276,0.5641,0.8217,4.65,17.77,88655.37,651,12,11
2025-11-27,BES01,12_1014_BROWN_39,CLOSE,39,82,28.0,2.93,14,0.409,0.6779,0.9071,5.72,16.75,83586.04,153,13,12
2025-11-27,HYS01,12_1014_BROWN_40,CLOSE,40,97,24.14,4.02,15,0.2835,0.5302,0.815,4.14,16.63,82971.23,888,14,13
2025-11-27,CHS01,18_1056_BLACK_41,GIRLS_OPEN,41,27,14.68,1.84,20,0.4652,0.7197,0.9203,6.37,11.73,81958.65,71,25,14
2025-11-27,CHS01,27_1119_ANTIC-GOLD_39,CLOSE,39,61,12.84,4.75,13,0.4124,0.6851,0.9126,5.77,27.4,81932.98,137,3,15
2025-11-27,AHS01,18_1056_ANTIC-GOLD_40,GIRLS_OPEN,40,28,16.51,1.7,11,0.4854,0.7612,0.9482,6.66,11.29,78926.2,29,28,16
2025-11-27,BES01,18_1056_BLACK_39,GIRLS_OPEN,39,41,21.26,1.93,10,0.4072,0.6953,0.924,5.74,11.06,77338.45,120,29,17
2025-11-27,BES01,12_1014_ROSE-GOLD_42,CLOSE,42,49,19.88,2.46,19,0.4466,0.703,0.9129,6.15,15.16,75641.84,107,16,18
