bin,n,predicted_mean,observed_km,gap
0,552,0.05825896527948039,0.056103560700957344,0.0021554045785230486
1,551,0.08764170449793063,0.06864657068667834,0.018995133811252285
2,551,0.10861398982847001,0.062130531797012,0.04648345803145801
3,551,0.12817184102754234,0.0966605499605041,0.03151129106703823
4,552,0.15021387123308524,0.09682633452414813,0.05338753670893712
5,551,0.17684469031999056,0.1231357815246441,0.053708908795346455
6,551,0.209538885153899,0.2160018063609448,-0.00646292120704578
7,551,0.2554260648878673,0.2505325811224255,0.004893483765441797
8,551,0.3250996585337096,0.2945033766720224,0.03059628186168717
9,552,0.48271772059565865,0.5437694531797457,-0.061051732584087026
