store_id,sku_uid,trailing_demand_rate,days_of_cover,protection_days,service_level,recommended_cover_days,recommended_reorder_point,textbook_reorder_point,expected_demand_over_lead,safety_stock
AHS01,12_1014_ROSE-GOLD_40,6.214285714285714,17.862068965517242,5.931840648477659,0.95,17.62,110,47,36.86,73.14
BES01,12_1014_BROWN_40,3.9642857142857144,20.18018018018018,5.931840648477659,0.95,17.2,69,32,23.52,45.48
PUS01,12_1014_ANTIC-GOLD_39,6.321428571428571,19.61581920903955,5.931840648477659,0.95,10.4,66,48,37.5,28.5
BES01,12_1014_ROSE-GOLD_41,3.267857142857143,22.338797814207652,5.931840648477659,0.95,17.78,59,27,19.38,39.62
AHS01,12_1014_ROSE-GOLD_42,3.6964285714285716,17.043478260869563,5.931840648477659,0.95,14.38,54,30,21.93,32.07
BES01,29_1133_BROWN_40,2.4642857142857144,19.884057971014492,5.931840648477659,0.95,16.28,41,21,14.62,26.38
AHS01,12_1014_ROSE-GOLD_41,3.732142857142857,23.04306220095694,5.931840648477659,0.95,10.77,41,30,22.14,18.86
BES01,12_1014_ROSE-GOLD_39,2.6607142857142856,26.684563758389263,5.931840648477659,0.95,14.78,40,23,15.78,24.22
PUS01,25_1105_MAROON_40,2.0892857142857144,20.58119658119658,5.931840648477659,0.95,18.97,40,19,12.39,27.61
BES01,12_1014_BROWN_39,2.9285714285714284,28.000000000000004,5.931840648477659,0.95,13.65,40,25,17.37,22.63
BES01,12_1014_ROSE-GOLD_40,4.982142857142857,23.082437275985665,5.931840648477659,0.95,7.89,40,39,29.55,10.45
HYS01,12_1014_BROWN_39,6.339285714285714,22.715492957746477,5.931840648477659,0.95,5.12,33,48,37.6,-4.6
AHS01,12_1014_ROSE-GOLD_39,3.1607142857142856,18.033898305084747,5.931840648477659,0.95,10.05,32,26,18.75,13.25
SUS01,12_1014_ANTIC-GOLD_39,3.2142857142857144,27.688888888888886,5.931840648477659,0.95,9.62,31,27,19.07,11.93
PUS01,12_1014_ANTIC-GOLD_42,1.9821428571428572,31.783783783783782,5.931840648477659,0.95,15.22,31,18,11.76,19.24
CHS01,27_1119_ANTIC-GOLD_39,4.75,12.842105263157896,5.931840648477659,0.95,6.51,31,37,28.18,2.82
CHS01,12_1014_ROSE-GOLD_39,3.4107142857142856,17.298429319371728,5.931840648477659,0.95,8.01,28,28,20.23,7.77
CHS01,12_1014_ROSE-GOLD_40,3.5714285714285716,25.2,5.931840648477659,0.95,7.76,28,29,21.19,6.81
BES01,26_1112_WHITE_41,1.9821428571428572,17.153153153153152,5.931840648477659,0.95,14.09,28,18,11.76,16.24
SUS01,12_1014_ANTIC-GOLD_40,6.017857142857143,21.602373887240354,5.931840648477659,0.95,4.35,27,46,35.7,-8.7
BES01,18_1056_BLACK_39,1.9285714285714286,21.25925925925926,5.931840648477659,0.95,13.6,27,18,11.44,15.56
BES01,12_1014_ROSE-GOLD_38,2.517857142857143,17.078014184397162,5.931840648477659,0.95,10.01,26,22,14.94,11.06
MUS01,28_1126_TAN_40,3.5892857142857144,20.059701492537314,5.931840648477659,0.95,6.97,26,29,21.29,4.71
AHS01,18_1056_ANTIC-GOLD_39,1.625,22.76923076923077,5.931840648477659,0.95,15.07,25,15,9.64,15.36
AHS01,28_1126_TAN_40,1.8571428571428572,26.923076923076923,5.931840648477659,0.95,13.29,25,17,11.02,13.98
PUS01,12_1014_BROWN_41,3.9285714285714284,21.89090909090909,5.931840648477659,0.95,5.87,24,32,23.3,0.7
BES01,27_1119_ANTIC-GOLD_42,1.8571428571428572,16.692307692307693,5.931840648477659,0.95,12.79,24,17,11.02,12.98
AHS01,18_1056_ANTIC-GOLD_40,1.6964285714285714,16.50526315789474,5.931840648477659,0.95,13.82,24,16,10.06,13.94
BES01,12_1014_ROSE-GOLD_42,2.4642857142857144,19.884057971014492,5.931840648477659,0.95,9.52,24,21,14.62,9.38
BES01,29_1133_BROWN_42,1.7142857142857142,21.0,5.931840648477659,0.95,13.49,24,16,10.17,13.83
HYS01,12_1014_BROWN_40,4.017857142857143,24.14222222222222,5.931840648477659,0.95,5.59,23,32,23.83,-0.83
