store_id,sku_uid,trailing_demand_rate,protection_days,service_level,dispersion_k,expected_demand_over_lead,recommended_reorder_point,textbook_reorder_point,safety_stock,recommended_cover_days
HYS01,12_1014_BROWN_39,6.339285714285714,7.98,0.95,1.582,50.56,131,63,80.44,20.66
PUS01,12_1014_ANTIC-GOLD_39,6.321428571428571,7.98,0.95,1.582,50.42,130,63,79.58,20.56
AHS01,12_1014_ROSE-GOLD_40,6.214285714285714,7.98,0.95,1.582,49.57,128,62,78.43,20.6
SUS01,12_1014_ANTIC-GOLD_40,6.017857142857143,7.98,0.95,1.582,48.0,124,60,76.0,20.61
BES01,12_1014_ROSE-GOLD_40,4.982142857142857,7.98,0.95,1.582,39.74,103,51,63.26,20.67
CHS01,27_1119_ANTIC-GOLD_39,4.75,7.98,0.95,1.582,37.89,98,49,60.11,20.63
PUS01,12_1014_ANTIC-GOLD_41,4.017857142857143,7.98,0.95,1.582,32.05,83,42,50.95,20.66
HYS01,12_1014_BROWN_40,4.017857142857143,7.98,0.95,1.582,32.05,83,42,50.95,20.66
BES01,12_1014_BROWN_40,3.9642857142857144,7.98,0.95,1.582,31.62,82,41,50.379999999999995,20.68
PUS01,12_1014_BROWN_41,3.9285714285714284,7.98,0.95,1.582,31.33,81,41,49.67,20.62
BES01,12_1014_BROWN_41,3.8392857142857144,7.98,0.95,1.582,30.62,80,40,49.379999999999995,20.84
CHS01,12_1014_ANTIC-GOLD_40,3.8214285714285716,7.98,0.95,1.582,30.48,79,40,48.519999999999996,20.67
AHS01,12_1014_ROSE-GOLD_41,3.732142857142857,7.98,0.95,1.582,29.77,77,39,47.230000000000004,20.63
AHS01,12_1014_ROSE-GOLD_42,3.6964285714285716,7.98,0.95,1.582,29.48,77,39,47.519999999999996,20.83
CHS01,12_1014_ROSE-GOLD_40,3.5714285714285716,7.98,0.95,1.582,28.49,74,38,45.510000000000005,20.72
MUS01,28_1126_TAN_40,3.5892857142857144,7.98,0.95,1.582,28.63,74,38,45.370000000000005,20.62
HYS01,12_1014_BROWN_38,3.5892857142857144,7.98,0.95,1.582,28.63,74,38,45.370000000000005,20.62
PUS01,12_1014_BROWN_40,3.4642857142857144,7.98,0.95,1.582,27.63,72,37,44.370000000000005,20.78
CHS01,12_1014_ROSE-GOLD_39,3.4107142857142856,7.98,0.95,1.582,27.2,71,36,43.8,20.82
PUS01,12_1014_BROWN_42,3.375,7.98,0.95,1.582,26.92,70,36,43.08,20.74
MUS01,29_1133_BROWN_41,3.375,7.98,0.95,1.582,26.92,70,36,43.08,20.74
HYS01,12_1014_BROWN_42,3.3214285714285716,7.98,0.95,1.582,26.49,69,35,42.510000000000005,20.77
CHS01,12_1014_ROSE-GOLD_42,3.267857142857143,7.98,0.95,1.582,26.06,68,35,41.94,20.81
CHS01,18_1056_GREY_42,3.267857142857143,7.98,0.95,1.582,26.06,68,35,41.94,20.81
COS01,12_1014_BROWN_39,3.2857142857142856,7.98,0.95,1.582,26.21,68,35,41.79,20.7
MUS01,28_1126_TAN_39,3.25,7.98,0.95,1.582,25.92,68,35,42.08,20.92
BES01,12_1014_ROSE-GOLD_41,3.267857142857143,7.98,0.95,1.582,26.06,68,35,41.94,20.81
INS01,12_1014_BROWN_40,3.25,7.98,0.95,1.582,25.92,68,35,42.08,20.92
SUS01,12_1014_ANTIC-GOLD_39,3.2142857142857144,7.98,0.95,1.582,25.64,67,34,41.36,20.84
CHS01,12_1014_ANTIC-GOLD_41,3.232142857142857,7.98,0.95,1.582,25.78,67,35,41.22,20.73
PUS01,12_1014_ANTIC-GOLD_40,3.232142857142857,7.98,0.95,1.582,25.78,67,35,41.22,20.73
INS01,12_1014_ROSE-GOLD_40,3.232142857142857,7.98,0.95,1.582,25.78,67,35,41.22,20.73
HYS01,28_1126_TAN_40,3.232142857142857,7.98,0.95,1.582,25.78,67,35,41.22,20.73
AHS01,12_1014_ROSE-GOLD_39,3.1607142857142856,7.98,0.95,1.582,25.21,66,34,40.79,20.88
HYS01,31_1147_ANTIC-GOLD_41,3.0535714285714284,7.98,0.95,1.582,24.36,64,33,39.64,20.96
PUS01,28_1126_ROSE-GOLD_41,3.017857142857143,7.98,0.95,1.582,24.07,63,33,38.93,20.88
CHS01,26_1112_WHITE_39,3.0,7.98,0.95,1.582,23.93,62,32,38.07,20.67
BES01,12_1014_BROWN_38,2.9464285714285716,7.98,0.95,1.582,23.5,61,32,37.5,20.7
