options_,size,year,month,dns_item,color,brands,gender,dns,category,flag,assortment,subcat,avg_price,product,lead_time,prediction_size ,Date
VELTRIX_14_1002_BLACK,39,2026,6,14_1002,BLACK,VELTRIX,GT,14,PREMIUM CLOSE,CONTINUE,MENS BOOTS,FORMAL,6990,footwear,90,3,########
VELTRIX_14_1002_BLACK,40,2026,6,14_1002,BLACK,VELTRIX,GT,14,PREMIUM CLOSE,CONTINUE,MENS BOOTS,FORMAL,6990,footwear,90,12,########
VELTRIX_14_1002_BLACK,41,2026,6,14_1002,BLACK,VELTRIX,GT,14,PREMIUM CLOSE,CONTINUE,MENS BOOTS,FORMAL,6990,footwear,90,14,########
VELTRIX_14_1002_BLACK,42,2026,6,14_1002,BLACK,VELTRIX,GT,14,PREMIUM CLOSE,CONTINUE,MENS BOOTS,FORMAL,6990,footwear,90,15,########
VELTRIX_14_1002_BLACK,43,2026,6,14_1002,BLACK,VELTRIX,GT,14,PREMIUM CLOSE,CONTINUE,MENS BOOTS,FORMAL,6990,footwear,90,14,########
VELTRIX_14_1002_BLACK,44,2026,6,14_1002,BLACK,VELTRIX,GT,14,PREMIUM CLOSE,CONTINUE,MENS BOOTS,FORMAL,6990,footwear,90,8,########
VELTRIX_14_1002_BLACK,45,2026,6,14_1002,BLACK,VELTRIX,GT,14,PREMIUM CLOSE,CONTINUE,MENS BOOTS,FORMAL,6990,footwear,90,7,########
VELTRIX_14_1002_BLACK,39,2026,7,14_1002,BLACK,VELTRIX,GT,14,PREMIUM CLOSE,CONTINUE,MENS BOOTS,FORMAL,6990,footwear,90,3,########
VELTRIX_14_1002_BLACK,40,2026,7,14_1002,BLACK,VELTRIX,GT,14,PREMIUM CLOSE,CONTINUE,MENS BOOTS,FORMAL,6990,footwear,90,13,########
VELTRIX_14_1002_BLACK,41,2026,7,14_1002,BLACK,VELTRIX,GT,14,PREMIUM CLOSE,CONTINUE,MENS BOOTS,FORMAL,6990,footwear,90,15,########
VELTRIX_14_1002_BLACK,42,2026,7,14_1002,BLACK,VELTRIX,GT,14,PREMIUM CLOSE,CONTINUE,MENS BOOTS,FORMAL,6990,footwear,90,15,########
