date,city,states,zone,promotion_flag,holiday_flag
########,CHENNAI,Tamil Nadu,SOUTH ZONE,1,0
########,COIMBATORE,Tamil Nadu,SOUTH ZONE,1,0
########,MADURAI,Tamil Nadu,SOUTH ZONE,1,0
########,TRICHY,Tamil Nadu,SOUTH ZONE,1,0
########,NAGERCOIL,Tamil Nadu,SOUTH ZONE,1,0
########,SALEM,Tamil Nadu,SOUTH ZONE,1,0
########,ERODE,Tamil Nadu,SOUTH ZONE,1,0
########,TIRUNELVELI,Tamil Nadu,SOUTH ZONE,1,0
########,TIRUPPUR,Tamil Nadu,SOUTH ZONE,1,0
########,VELLORE,Tamil Nadu,SOUTH ZONE,1,0
########,KANCHIPURAM,Tamil Nadu,SOUTH ZONE,1,0
########,DINDIGUL,Tamil Nadu,SOUTH ZONE,1,0
