Order_Date,Warehouse_ID,Store_ID,SKU,Category,Subcategory,Size,Current_Stock,Replenishment qty
########,Warehouse,KCS05,METRO_33_3181_WHITE,OPEN,CASUAL,37,2,35
########,Warehouse,GGS01,METRO_71_8440_BROWN,CLOSE,CASUAL,48,20,31
########,Warehouse,NCS01,METRO_33_213_BLACK,OPEN,CASUAL,38,21,34
########,Warehouse,GBS01,METRO_16_1020_GREY,OPEN,CASUAL,40,1,28
########,Warehouse,LUS06,METRO_57_38_ROSE_GOLD,GIRLS_OPEN,CASUAL,34,20,19
########,Warehouse,BHS01,METRO_44_571_GREY,OPEN,COMFORT,41,17,28
########,Warehouse,BHS01,METRO_44_571_GREY,OPEN,COMFORT,41,2,43
########,Warehouse,BHS01,METRO_44_571_GREY,OPEN,COMFORT,41,5,49
########,Warehouse,NCS01,METRO_33_213_BLACK,OPEN,CASUAL,38,16,27
########,Warehouse,NCS01,METRO_33_213_BLACK,OPEN,CASUAL,38,0,46
########,Warehouse,GGS01,METRO_71_8440_BROWN,CLOSE,CASUAL,48,3,44
########,Warehouse,LUS06,METRO_57_38_ROSE_GOLD,GIRLS_OPEN,CASUAL,34,13,31
